image1,image2,similarité
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-24 154422.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191522.png,0.869917
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,0.890109
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104842.png,0.876782
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,0.876767
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,0.885672
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 115802.png,0.892350
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 174454.png,0.863867
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,0.864391
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,0.871332
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.895842
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 102105.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.888784
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 103614.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 104124.png,0.897316
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 103614.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 111616.png,0.865394
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 103614.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 112525.png,0.882540
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 103614.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.869871
